V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
0.7544,1.54,-1.069,-0.5483,-1.476,1.523,-1.612,0.2788,-0.0931,1.09,1.089,0.672,-0.6777,-0.7705,1.872
-0.655,-0.76,1.25,1.366,-1.148,1.391,0.479,1.175,-0.11615,0.24,0.781,-0.4785,0.664,-0.02544,0.5645
0.0714,-0.2498,0.2064,-0.4954,1.397,-1.207,1.41,-0.804,1.014,-1.173,0.2054,1.188,-1.788,-1.971,0.462
0.9805,-1.453,-1.125,-0.2296,-0.6953,0.04993,-0.2075,1.685,0.4128,-0.273,1.717,-0.861,1.52,-0.3293,0.2384
0.001898,-0.8037,0.5244,0.0324,1.654,0.0168,0.001732,-0.811,1.158,-0.1963,0.1838,1.007,-1.329,0.1798,-0.3394
0.8726,0.03525,0.9937,1.07,-1.612,1.65,1.425,0.5107,-0.3342,-1.286,0.518,0.3152,-0.1477,-0.001339,0.828
-1.634,-1.571,1.12,1.209,-1.157,1.39,0.1881,-1.134,-0.8174,0.4807,1.015,0.261,0.06186,0.9434,0.3193
-1.18,-1.312,0.324,-0.208,0.5513,-1.053,0.7686,-1.522,-1.716,-0.06805,-0.473,-0.6904,1.122,-0.01587,-0.5894
-0.3545,0.944,-0.3098,-1.63,-0.0662,-0.1081,-0.8013,0.3792,1.441,-1.646,-1.802,-0.18,0.3748,1.879,-1.427
1.541,-0.79,0.476,0.0186,-1.66,1.965,0.866,1.521,-1.273,-0.1809,1.535,-2.193,0.808,0.6616,1.754
0.5635,-0.03943,1.345,1.236,-1.314,1.69,1.349,0.006805,-1.407,-1.284,1.161,-0.66,0.804,0.1649,0.7773
1.46,1.068,-0.1381,-1.312,-0.2467,-0.02634,-1.114,0.05048,0.1332,-1.266,-0.315,0.8394,-0.7754,-0.3547,-0.5317
-0.64,-0.999,-1.53,1.25,-0.7637,0.2808,-0.0756,-0.3247,-0.277,-0.572,1.226,0.531,-0.007866,-0.1087,0.6074
-1.318,-1.602,0.8247,0.7993,0.9473,-1.083,0.6943,-1.496,-1.475,0.07367,-0.3127,-0.4536,0.909,1.569,-0.9985
-0.4985,-1.566,-1.185,-0.01761,0.8096,-1.164,0.681,-0.6514,-1.398,-0.173,-0.958,-0.841,1.173,0.7983,-1.59
-0.436,1.234,-0.7363,-1.335,1.119,-1.314,-0.7783,0.1008,-0.5664,-1.708,-1.083,-0.1364,1.05,-0.2404,-1.344
-1.269,0.4968,-0.8105,-1.344,-1.306,1.556,0.692,-1.209,0.196,-0.2773,-0.6133,1.528,-1.662,0.06586,-0.5273
-0.8394,0.2113,1.252,0.93,-0.62,0.5933,0.1917,0.485,-0.6304,-0.2356,0.11945,-0.4033,0.711,0.9097,-0.632
