V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
0.09863,1.422,-1.054,0.06097,0.1456,2.162,-1.29,-1.262,-1.702,-0.8984,1.393,-0.6445,1.244,-1.249,1.558
0.009926,1.186,-0.5127,1.582,1.543,0.9966,-0.679,-0.714,-1.098,-1.414,1.309,-0.9263,1.28,-1.444,0.907
0.05164,0.01364,-0.917,-0.3464,-0.3372,-0.58,-0.1272,1.097,0.9087,0.651,-1.278,0.915,-0.4585,0.1219,-1.025
1.507,1.387,-0.3923,0.4304,-0.9976,1.633,-0.6436,-1.351,-1.427,-0.7036,1.299,-0.732,1.306,-1.432,2.258
-0.3699,0.2277,-0.7246,-1.0625,-0.5435,-0.3423,-0.4958,1.352,0.7944,0.621,-1.241,1.338,-0.5923,0.7056,-1.335
0.9365,1.147,0.7603,-0.1373,0.6484,1.135,-0.843,-0.0806,0.1663,-1.8545,-0.02605,-0.2153,-0.8755,0.951,0.3367
1.485,-0.697,-1.033,-0.5854,-0.1719,-0.989,0.1418,-0.242,-0.1624,0.10736,0.5083,0.449,-1.172,1.273,-0.2263
0.1854,-0.8774,0.7744,0.7373,0.1823,-0.7437,0.446,0.3406,0.552,0.3728,-0.1187,-0.9907,0.4346,-0.788,-0.05908
1.423,0.9272,-1.176,-1.251,1.144,0.2944,-0.8394,0.365,0.5415,-1.957,-0.4316,1.921,-1.598,1.353,-0.9067
-0.2817,1.616,0.5503,1.594,-0.276,2.006,-0.8833,-2.18,-1.868,-0.0635,1.511,-2.229,2.115,-1.336,1.7
-1.591,-0.685,0.4373,-1.45,0.3477,-0.8525,0.2893,1.198,0.7646,0.9473,-1.205,0.953,-0.1875,-0.0986,-1.444
-1.233,-1.32,0.6104,0.6504,0.369,-0.693,1.337,0.1528,0.5054,0.905,-0.1151,-1.302,0.3877,-0.9697,-0.4993
-0.959,0.9023,-1.242,0.6294,-0.03534,0.531,-0.7944,0.4429,0.7085,0.1333,-0.3918,-0.3892,-0.539,0.6846,-0.2515
-0.9116,0.4465,0.00939,1.467,1.487,-0.543,-0.5645,-0.088,0.4045,-0.5923,0.0416,-0.9536,-0.002525,-0.3506,0.2208
-0.003893,0.479,-0.2296,0.7505,-0.4258,-0.2025,-0.4453,0.8066,0.7397,0.1831,-0.874,-0.3442,0.1731,-0.8755,0.1876
-0.7397,-1.528,-1.312,0.447,-0.9697,-1.04,2.225,-1.216,-1.126,1.8545,1.389,0.6226,-0.7344,1.086,-0.08875
-0.329,0.04608,1.407,0.1092,-0.767,-0.4434,-0.759,1.017,0.823,0.9194,-0.9683,-0.4473,0.7964,-0.5396,-0.2374
-1.161,0.909,1.366,0.906,1.205,0.296,-0.6978,0.908,1.071,-0.577,-1.177,-0.781,1.385,-1.248,-0.1755
-0.211,-1.4,1.146,0.05362,1.656,-0.5527,1.594,-0.3352,-0.343,0.1732,0.4092,-1.623,0.951,-1.122,0.0647
0.627,0.573,1.1875,0.301,-1.086,-0.2058,-0.5986,0.6772,0.8247,-0.3948,-0.9756,0.4277,-0.408,0.23,0.231
0.3774,-0.02484,-0.1654,1.054,0.584,-0.6963,-0.7197,0.4312,0.804,-0.78,-0.4858,-0.377,-0.05878,0.0797,0.0726
-1.494,0.517,-1.466,-0.4136,0.665,-0.3489,-0.667,1.042,1.177,-0.2281,-1.241,1.245,-0.8027,1.242,-1.502
1.51,-0.5527,1.57,-0.7173,-0.2993,-0.6836,0.1647,-0.1853,0.285,0.249,0.5166,-0.6973,-0.5034,0.8687,0.12476
-0.4917,1.443,-0.181,0.06494,0.962,2.357,-1.274,-1.53,-1.659,-1.021,1.563,-1.486,2.162,-1.214,1.246
1.086,-1.792,-0.7344,-1.693,1.405,-0.9097,1.958,-1.377,-1.475,-0.6655,1.606,0.841,-0.1569,-0.1814,0.162
-0.11383,-0.6733,-0.9067,-0.516,1.569,-0.4502,0.1015,1.055,0.9272,-0.0726,-0.993,0.4282,-0.474,1.032,-1.661
0.4412,1.405,-1.339,1.498,0.3716,1.984,-1.096,-2.082,-2.002,-1.588,1.428,0.03065,-0.02017,-0.6284,1.545
1.318,0.6533,0.992,-1.674,0.941,0.09796,-0.5464,0.3748,0.4895,-1.91,-0.09247,0.858,-1.514,1.129,-0.59
