V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
1.372,0.1678,0.793,-0.472,-0.7324,0.714,-0.2426,1.056,0.831,-1.0205,1.194,1.3,-1.844,0.584,-1.29,-0.0591,-0.987,0.4094,-0.7607,1.16
1.081,-1.366,0.4116,-1.527,-1.609,-0.638,1.536,0.835,1.043,1.0625,-0.01269,-1.289,0.729,-0.3381,1.426,1.804,0.4885,-0.207,-0.07526,-0.388
-1.108,-0.4749,1.305,-0.684,-0.987,-1.203,-0.07947,0.7275,-1.294,-0.6577,-1.147,-1.076,-0.3713,-1.39,0.2988,-0.3396,0.6665,0.3809,-0.2318,0.5767
1.705,0.997,1.161,-0.318,-0.3806,0.8833,1.733,0.908,0.7686,-1.169,0.2213,-0.5137,-2.08,0.6846,0.7656,1.558,1.759,-0.8354,-0.6885,0.1631
0.5327,0.2269,0.8335,0.2988,0.701,1.141,0.9683,1.051,1.147,0.1918,0.1774,-0.3984,-0.1375,-0.5864,0.3135,0.3372,0.4785,-0.2455,0.9775,-1.0625
-1.55,-0.729,0.5703,-0.259,-0.1957,1.648,-1.514,0.9175,-1.529,0.7417,0.923,0.279,0.4136,0.8335,-0.804,-0.3987,-0.471,0.3796,1.056,2.09
1.443,1.034,-1.251,0.07,0.2251,0.4766,0.378,-1.522,0.79,2.65,0.4104,-1.39,-1.583,-0.702,0.796,1.417,-0.2986,-1.137,-0.565,-1.0625
-0.4492,0.536,-1.542,-0.3594,-0.5073,-0.2292,-0.7954,-1.575,-0.4185,1.951,0.763,1.438,-1.157,-1.593,-1.554,0.655,-1.642,-0.87,0.6514,1.272
-0.815,-0.6567,-0.55,-0.7617,-1.284,-0.4055,-0.368,-0.2166,-0.983,-0.4285,0.12,-1.18,-0.7993,-0.4739,1.459,0.1986,-0.3552,0.05664,0.1057,0.5786
0.323,1.223,0.2546,-0.953,-1.458,1.655,1.183,1.055,0.9487,-0.627,1.3,-0.6455,-0.4976,1.121,-0.7075,-0.3838,-2.08,0.1385,-1.859,0.677
-0.9834,1.501,0.847,-1.279,-1.17,0.949,1.322,0.953,-1.071,0.1459,0.02263,1.0625,-0.03598,0.909,-1.188,0.36,-0.236,-0.2659,0.569,0.11957
1.39,-1.277,0.09125,-1.676,-1.448,1.255,1.287,0.673,0.8057,0.562,0.562,0.939,0.522,1.001,-1.199,-0.1306,-0.2656,0.4187,0.808,1.904
1.167,-0.639,-0.02852,1.193,0.9785,-1.511,-0.884,0.4482,0.963,0.1908,0.01511,-0.682,1.396,1.888,-0.374,0.3958,0.7725,-0.349,0.9536,-0.4001
0.2869,1.12,-1.193,-0.896,-1.406,1.131,1.201,-1.172,0.914,2.523,-0.2313,-0.299,-0.734,0.9785,0.3408,1.012,0.4065,-1.272,1.413,-1.454
1.04,-1.018,-0.4265,-1.015,-1.264,1.589,-1.286,-0.362,1.043,-0.7246,1.109,-1.172,-0.2876,1.17,-0.1506,-1.727,1.343,1.989,0.1509,0.0891
0.6606,0.09845,-0.985,-0.742,-0.485,1.359,-1.675,-1.238,1.18,0.2979,-1.065,1.233,-0.9854,1.149,-1.666,0.864,-3.895,-1.359,-0.114,-1.156
-0.5776,-0.8696,-0.517,-0.275,-0.2333,-0.1279,0.365,-0.1658,-0.6523,-1.183,0.7974,0.6143,-0.576,-1.465,0.1631,0.2474,-0.4414,-0.03525,-1.234,0.3652
0.4172,-0.00834,-0.9414,0.437,0.863,1.663,0.9546,-1.062,1.045,0.157,-1.002,1.457,-0.844,-0.341,-1.586,-0.4734,0.2299,0.4395,0.8594,0.09186
-0.9956,-0.979,-0.3984,0.05554,0.334,-1.399,1.193,0.11456,-1.242,-0.1742,0.7744,0.8057,0.7617,0.6914,-0.6,1.618,0.4849,-0.647,1.111,-0.3994
0.688,-0.6406,0.4543,1.186,0.962,-1.302,-0.813,0.9775,1.1455,-0.0876,-0.529,-1.319,1.63,1.823,-0.013306,0.0418,0.2905,0.261,0.746,0.675
-0.1776,-0.7056,-0.528,-1.244,-1.447,0.03622,1.533,-0.3796,0.09564,-0.948,1.289,-1.058,-0.1798,0.0408,1.195,1.492,-0.04053,-0.891,-0.6396,-0.0696
-0.7583,-0.3315,0.5205,1.513,0.732,-1.474,-0.707,1.176,-0.9414,0.078,-1.471,1.033,0.06573,1.459,-0.8965,-0.411,-0.00945,0.2551,0.567,1.264
-1.381,-0.8374,-1.258,0.4463,0.8896,1.367,0.163,-1.473,-1.477,-0.777,-1.322,-1.6,0.5776,-0.698,0.3694,-0.2915,-0.08484,0.3298,-1.294,-0.2291
-0.0463,1.701,-1.118,-1.5205,-1.566,-0.6333,-0.0745,-1.147,0.351,1.302,-0.7124,1.532,0.4536,-0.4573,-1.967,0.675,-0.234,-0.751,0.8833,-0.7446
1.578,-1.631,-0.174,1.079,1.175,0.2474,-1.122,0.2954,0.7544,-0.4468,0.2007,0.4255,0.951,-0.128,0.9033,-0.1539,1.388,0.454,0.969,-1.3955
-0.4148,1.311,-0.681,-1.067,-1.322,-1.504,1.013,-0.3806,-0.371,1.506,1.3545,-0.3586,-0.9756,-1.287,-0.2312,0.81,-0.372,-1.171,1.008,0.2559
-1.333,-0.8477,1.101,-1.102,-1.55,1.203,1.509,0.848,-1.502,0.4565,0.4695,-1.696,-0.0677,0.9883,0.607,0.856,0.2263,-1.168,-0.04465,-0.4854
-1.017,1.098,-1.575,0.2129,0.577,-0.3164,0.286,-1.638,-1.16,2.781,-1.303,-0.8486,0.8413,-0.5903,1.47,0.2358,-1.045,-0.011444,0.3289,0.482
-0.813,-1.59,-1.653,-1.649,-1.271,1.052,0.2593,-1.707,-0.968,0.03061,-1.38,-0.4563,1.078,0.9854,0.4368,-1.325,0.3955,-0.0516,-0.479,0.6353
-0.4238,-1.088,1.038,0.98,1.061,-0.3445,1.286,0.9326,-0.3745,-0.3066,1.158,1.687,0.568,0.7744,-1.689,1.099,0.992,-1.317,1.032,-1.698
1.115,0.1698,1.343,0.010124,0.294,1.081,0.7896,0.703,0.97,-0.3555,-0.1388,-0.9185,-1.753,0.11774,0.2079,1.387,0.634,-1.162,1.073,-0.7783
-1.312,-0.3052,0.777,1.385,0.8438,-1.417,0.4695,0.937,-1.482,0.1769,0.1864,-1.246,-1.029,1.75,-0.3938,0.514,-1.338,-0.618,-0.6826,-0.584
1.342,-1.039,-0.9365,1.322,0.8237,0.5215,-0.856,-1.09,0.823,-0.6284,-0.8037,-0.9937,1.517,-0.801,0.801,0.03433,1.706,0.324,0.833,0.9795
-0.3855,-1.45,-0.09625,0.81,1.084,1.053,0.521,0.3088,-0.2961,-0.3347,0.476,0.359,0.4116,-0.991,0.1437,-1.68,-1.557,1.721,-1.202,0.337
-0.635,0.03952,1.306,0.1857,0.504,-0.643,-0.6797,0.7305,-0.685,0.001331,0.3147,1.65,0.421,-0.0552,-1.951,0.0961,1.262,0.2168,1.223,-1.416
-0.175,-1.48,-0.041,0.1764,0.5195,0.4387,-1.386,0.4429,0.09973,-0.6187,0.714,1.242,-0.946,-0.8745,-0.939,0.0836,-0.02455,0.2279,-0.5327,0.5884
1.553,0.646,0.5176,1.005,0.975,-1.045,1.254,1.001,0.753,0.0339,-0.786,1.024,0.815,1.7,-1.415,0.0701,0.8594,0.2798,1.027,-0.3616
0.1813,1.171,-0.0927,-0.7686,-1.33,-0.631,-1.236,0.372,0.755,0.517,-0.167,1.446,-1.21,-0.841,-1.969,0.04147,1.21,0.3232,-0.1437,-0.547
-0.7544,0.632,1.692,-1.415,-1.298,0.516,-0.763,0.5938,-0.897,-0.803,1.39,-1.002,0.1898,0.4182,0.7334,-1.543,-0.0924,1.218,-0.503,0.764
0.991,0.2593,1.362,-1.367,-1.204,0.7163,0.947,0.689,1.082,-1.488,1.228,-0.02116,0.5513,0.6323,1.065,0.8955,0.88,-1.246,-0.1458,-0.2448
0.5874,-1.086,1.152,1.143,1.179,-1.306,0.3606,0.8486,1.165,-0.2864,1.542,-0.2512,1.638,2.21,0.03308,0.259,0.3328,-0.07263,0.2401,-0.0905
0.144,0.194,0.269,-0.7236,-1.073,0.1096,0.0849,0.7217,0.695,-1.4375,1.565,0.885,-1.327,-0.269,-0.2688,0.268,-0.412,-0.0741,-0.688,1.005
1.257,-0.7056,-1.143,-0.6104,-1.208,-1.177,-0.3232,-1.267,0.899,-0.597,-1.058,-0.959,-1.603,-1.204,0.3362,0.0705,-0.67,0.2402,-0.0725,0.0825
-1.302,0.1833,-1.606,1.256,0.9863,-0.1792,-0.4236,-1.852,-1.409,-0.4553,-1.496,1.339,-0.804,0.2651,-1.425,-1.917,-0.73,2.502,-1.889,-2.041
-1.094,-1.477,1.281,-0.1686,-0.05347,1.507,0.4788,0.746,-1.282,-0.3164,1.649,-1.489,0.4502,0.7534,0.04123,-1.661,-1.651,1.769,-1.173,-1.457
1.628,0.2512,-0.3967,-1.561,-1.207,0.903,-1.402,-0.3406,0.754,0.2031,-1.325,-1.236,0.672,0.839,0.3362,-1.77,0.7505,2.467,-0.5557,-0.4473
-1.017,-1.079,0.6553,-1.138,-1.116,-0.204,0.8037,0.9473,-1.157,0.4238,0.8574,-0.3657,-0.2678,-0.4255,1.4795,0.2167,0.0926,0.0204,-0.1963,0.965
-0.332,-1.051,-1.053,1.266,1.039,-0.4214,-0.629,-1.401,-0.2083,-0.5596,1.565,1.181,0.9985,0.861,-1.564,0.0977,1.176,0.204,1.125,0.3904
0.2795,-1.266,-0.388,-0.06836,0.1613,-0.63,-0.3923,-0.3267,0.908,-1.067,0.606,0.0746,-1.67,-0.756,0.5063,1.014,0.684,-1.33,0.2065,-0.8574
-0.6743,1.328,-0.7344,-1.104,-1.473,-0.6963,0.2418,-0.5166,-0.7285,1.401,-1.547,-0.3235,-0.743,-0.512,0.939,-0.9185,-0.4148,0.0714,1.071,0.4177
-1.021,1.265,-0.573,-1.607,-1.256,-1.314,-0.2524,-0.2988,-1.234,1.296,-1.3955,0.0497,0.947,-1.258,-0.04532,0.555,1.012,-0.7427,-0.1527,1.147
-0.4988,0.465,0.0989,-1.68,-1.3,-0.5283,0.4697,0.4893,-0.5225,-1.314,-0.04538,1.607,1.15,-0.7046,-1.899,1.005,0.6577,-1.288,-0.2379,-1.078
-0.7524,0.569,-1.278,-1.093,-1.31,-1.489,-1.204,-1.517,-0.9053,3.03,0.505,-0.862,-0.6006,-1.236,-0.416,-1.535,0.6855,0.8276,1.248,-0.3813
1.0,1.339,1.347,-1.672,-1.534,1.27,1.525,0.7036,1.043,0.5312,0.1957,-0.2566,0.896,0.9805,0.07733,-0.4995,-0.3694,0.01323,1.404,0.165
-0.3438,-1.523,0.6562,-0.11035,-0.0937,0.3142,-1.168,1.146,-0.2312,0.2236,0.4724,-1.494,-1.058,-0.738,0.668,-0.0632,0.4634,0.3674,0.2935,-1.3955
-0.2275,-0.55,0.762,-1.704,-1.035,-0.457,-1.045,0.993,-0.003292,0.1198,1.554,-0.6943,0.952,-0.972,1.406,0.591,-0.233,-0.7783,0.457,0.0415
0.5967,-1.36,-1.343,1.336,0.954,-0.9683,-1.539,-1.481,1.158,-0.8438,0.733,1.272,1.814,1.57,-1.805,0.96,1.449,-1.369,1.003,-2.904
0.1487,0.6055,1.265,-0.2107,-0.0447,1.21,-1.323,0.754,0.704,-1.051,1.278,0.677,-2.13,0.6543,-0.698,-1.189,-0.05182,0.3367,-1.213,2.023
-1.275,1.278,-1.153,1.336,0.7954,0.05658,0.8086,-1.442,-1.458,1.982,1.207,0.2903,-0.9517,-0.566,1.157,0.1545,-0.917,0.1279,0.618,0.5137
1.52,0.4456,-0.717,0.1703,0.515,-0.6846,0.573,-0.7886,0.767,0.3118,0.3174,-1.555,-1.66,0.02599,1.407,0.845,-0.11804,-1.187,0.5776,-0.3037
1.319,0.2932,-0.877,-0.6777,-0.956,-0.603,1.226,-0.8726,0.843,1.0625,0.3542,-0.7954,-1.378,-1.235,1.343,1.366,-0.1904,-1.188,0.5986,-0.92
-0.4119,-0.1222,0.688,1.657,0.6406,0.351,-1.138,1.079,-0.3323,0.1803,-0.2136,0.53,1.368,-0.899,0.8496,0.9653,0.1647,-1.385,0.667,-1.054
-1.087,1.309,-1.549,0.0357,0.311,-0.4497,-0.4275,-1.656,-1.25,3.135,-1.597,0.8433,0.7456,-0.9956,-0.9546,0.0476,-0.736,0.2976,0.1431,1.42
-1.618,-0.737,0.967,-0.59,-0.8896,-0.1296,0.3755,1.03,-1.585,0.4004,-1.599,0.965,-0.006832,-0.839,-0.7563,-0.2793,1.134,0.306,-0.1978,0.8447
1.204,1.374,-1.555,-1.474,-1.586,-1.494,-0.4922,-1.523,0.914,2.264,-0.685,-0.873,0.6396,-1.322,-0.4263,-0.2668,1.148,0.4944,0.7397,0.4468
-1.534,1.301,0.1184,0.5786,1.008,0.617,-0.159,0.5312,-1.586,-0.5586,0.373,0.4473,0.1034,-0.8193,0.949,-1.074,-1.705,0.0818,-1.224,0.1448
0.0866,1.196,0.0376,0.4885,0.9204,-1.125,-0.9937,0.502,0.5996,-0.5957,0.9336,-0.1361,-0.64,1.64,0.129,-1.622,0.2188,1.347,-0.3125,1.421
-1.693,0.7344,1.357,-0.4104,-0.5566,-0.9775,1.558,0.6924,-1.634,-1.002,0.4272,-1.218,0.3035,-1.462,0.885,0.1526,-0.4858,0.1371,-0.8154,0.05792
1.641,0.519,-0.846,0.55,0.8984,1.246,-0.5557,-0.624,0.7573,0.2389,-0.2854,1.6875,-0.5376,-0.7393,-1.937,-1.329,-0.516,0.1233,-0.2378,0.05295
-1.26,1.441,1.334,0.9907,1.27,-0.141,-1.571,0.708,-1.449,-0.2018,1.166,-1.148,-0.3687,0.865,1.3125,-0.95,-1.397,-0.1224,-0.9067,0.3887
1.66,-0.5166,-1.596,-0.7207,-0.874,0.3813,0.1351,-1.693,0.7617,-0.6777,-0.671,1.196,-1.327,0.02863,-0.884,0.6333,0.02292,-0.8677,-0.4805,-0.09467
-0.00903,1.667,1.077,0.9043,1.058,0.1544,-0.556,0.897,0.4172,-0.4875,-1.548,1.515,0.292,-0.2052,-1.19,-0.3628,0.6924,0.1736,0.682,0.805
0.53,1.712,-1.016,-1.509,-1.333,0.879,-1.488,-1.011,1.109,1.445,-0.9946,-0.2854,0.8477,0.7886,0.9536,0.09607,-0.504,0.2313,1.231,0.1508
1.386,0.5903,-0.08997,1.331,0.787,0.8906,0.458,0.4414,0.8013,-0.5176,-0.3267,1.505,1.654,-0.7827,-1.645,-1.0205,-0.04614,-0.2054,-0.653,-0.4707
-0.574,-0.11444,-1.2295,1.623,0.9146,-1.3,1.348,-1.473,-0.6436,-0.3918,-1.313,-0.906,0.844,1.783,0.05444,-1.495,-0.704,0.9727,-1.815,-0.23
0.3154,-1.306,1.639,0.4697,0.904,0.811,1.109,0.6406,0.9478,-0.3176,0.855,-1.31,-0.6865,-0.856,0.3516,-0.4531,0.383,0.4524,0.79,-1.555
1.462,-0.1556,1.584,0.9023,1.077,-0.2274,0.6104,0.605,0.778,0.1021,-1.087,1.098,0.559,0.555,-1.159,0.3691,1.359,-0.281,0.7515,-0.1106
