V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
1.422,0.81,0.776,-0.795,-0.4893,-0.9917,0.263,-0.04733,-0.9146,0.8276,1.512,-0.89,-0.907,-0.4905,-0.08453,-1.821,-0.7153,-0.383,-0.1686,0.708
-0.004307,-1.118,-0.9087,0.963,1.757,1.086,0.1962,0.3567,0.7856,-1.065,-0.939,1.819,2.191,-0.1359,-0.9404,0.7397,-0.3787,0.2467,-1.137,0.477
-0.0819,-1.124,0.711,-0.722,1.825,0.599,0.279,-0.3105,-0.07806,-0.9224,-2.045,0.2234,1.999,0.217,0.10657,0.978,-0.668,0.1647,0.6045,-0.382
0.566,-0.701,1.182,-1.248,0.1138,-1.13,-0.3267,-0.06244,-0.873,-0.8833,-0.772,-0.1887,-1.155,0.1458,-0.1705,0.8438,-2.184,-1.698,-0.1385,-0.4805
1.3545,0.09296,1.675,-2.174,-0.7856,-1.581,-0.9043,-0.8433,-0.185,1.169,1.111,-0.1656,-0.2778,0.3086,0.1936,-0.69,-0.2476,-0.2164,0.2961,-0.1642
-0.944,0.11725,-0.3242,0.3994,-0.831,0.3281,-0.9355,-1.044,1.633,1.132,-0.718,1.433,-0.0715,0.2292,1.41,-0.3228,0.9385,0.3215,0.6143,0.0813
1.354,0.2242,-1.102,0.821,-0.8486,0.589,-0.787,-0.4895,0.4036,0.946,1.045,0.4082,0.257,1.262,-0.4849,-0.6113,1.686,-0.2312,-0.5747,-0.319
-1.045,0.4834,-0.1997,0.602,-0.4275,1.2705,-0.2573,-0.5454,1.01,0.6997,-0.2043,1.225,-0.965,0.9697,0.5015,0.2177,0.7686,-0.11304,0.3713,-0.3813
-0.3115,-0.902,-1.263,1.094,0.8174,1.5,0.03207,0.1549,-0.769,-1.807,-0.0772,-0.89,0.5283,-0.3916,-0.977,1.068,0.7456,0.2593,0.00926,0.631
0.412,-0.6665,0.1805,0.1034,0.6265,-1.217,-0.481,-0.335,1.012,-1.678,-1.059,1.926,0.0465,1.313,0.5107,1.484,-0.9097,-0.5327,-1.079,-0.05365
0.05054,-0.8647,1.55,-2.096,0.8706,0.311,-0.1087,-0.04083,0.4077,-1.876,0.08405,0.3325,0.7437,1.277,-0.86,1.633,0.1438,-0.4666,-1.462,-0.09393
-0.3071,-0.9194,1.721,-2.453,1.1045,-0.7773,0.00064,-0.0798,-1.307,-1.954,-0.263,-0.9736,1.166,0.1465,-1.242,1.422,-0.957,0.1138,-0.808,0.09393
-0.33,-1.194,0.9707,-0.734,1.866,0.727,0.3025,0.1387,1.491,-0.568,0.6846,0.2974,1.717,0.337,-0.38,0.5576,-0.0674,0.3394,0.7925,-0.2222
-0.8594,-0.0649,1.119,-1.071,-0.8066,0.5474,-0.945,-0.9707,1.477,0.8975,0.1113,0.4927,-0.1619,0.487,1.279,0.1852,1.259,0.1812,1.008,-0.472
0.6143,-0.4802,1.06,-1.021,-0.2598,0.6733,-0.671,-0.333,-0.11816,0.4075,0.5225,-0.643,-1.342,1.094,0.0715,0.1854,-0.05557,-1.678,0.1687,-0.841
-1.521,2.227,0.4185,-0.3564,-1.4,-0.1506,2.32,1.83,1.521,0.7407,0.3567,0.2247,0.7993,-1.829,-0.4285,-0.904,0.393,1.635,1.731,-0.4841
-0.3254,-1.55,0.9033,-0.7856,1.942,1.317,0.581,-0.3877,1.386,-0.713,-0.9204,1.627,1.46,0.1979,-0.3577,0.641,0.2261,1.076,0.8433,0.006046
-0.691,-0.0649,-1.042,1.108,-0.564,0.31,-0.8955,-0.8965,1.605,0.745,-0.4927,1.064,-0.7134,0.5034,0.4792,0.1866,0.3464,-0.8657,-0.616,-0.0449
1.326,0.2303,-0.2256,0.4583,-0.4314,-0.55,-0.7446,-0.4707,-0.511,0.609,0.02078,-0.756,-0.7734,0.529,0.07043,0.3726,-0.137,-0.895,-0.3179,-0.10333
0.9834,0.128,-0.3054,0.063,-0.687,0.536,-0.851,-0.784,0.655,0.9663,1.601,1.146,-0.3943,0.829,0.65,-1.322,0.851,-0.2986,-0.2249,-0.5654
0.6387,-0.2474,-0.891,1.028,-0.6265,-1.605,-0.72,-1.055,-1.214,0.7773,0.2363,-1.75,-0.5806,-0.4255,1.115,-0.206,-0.7827,-0.2499,0.27,0.6904
0.4197,-0.5483,1.128,-1.042,-0.1882,0.3967,-0.61,-0.3406,-1.65,-0.01955,-0.2974,-1.022,-0.934,0.6226,-0.2795,0.4062,0.184,-1.68,0.0168,-0.5186
0.2976,-0.7456,-0.05072,-0.02322,0.636,0.914,-0.3352,-0.4617,-0.1696,-1.788,-1.029,0.6455,-0.03293,1.031,0.2847,1.34,0.4202,-0.699,-0.1148,0.02942
-1.697,2.244,0.8965,-0.4795,-1.333,1.635,2.432,1.953,0.2004,0.7534,0.735,-0.0968,0.854,-1.275,-0.6934,-1.313,1.361,2.541,0.6177,-0.1732
-1.003,0.3225,-0.352,0.6064,-0.4668,0.804,-0.708,-1.122,-0.517,0.4873,-0.0422,-0.7163,-0.957,-0.3105,1.705,0.0585,0.2471,0.07227,0.574,0.4858
