V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
0.8765,1.087,0.732,-1.015,1.652,0.3044,-0.945,-0.3328,-0.05756,0.6284,0.6455,-0.273,0.787,-0.566,-0.714,0.2573,-0.1901,0.531,-0.499,-0.01904
1.125,-1.43,0.755,0.557,0.6963,0.03815,1.3545,-0.949,1.572,0.4836,-0.2898,-0.2178,1.185,-0.6025,1.644,0.05948,0.782,0.0959,1.071,-0.6646
1.385,0.0874,1.372,-0.9575,0.2328,1.107,-0.4663,-0.8555,0.05225,-0.9336,-1.571,-0.4534,0.4946,0.766,-1.282,0.613,-1.561,1.062,-0.6934,0.4297
1.389,-0.1576,-1.181,1.4,-0.9883,-1.328,-0.1381,1.339,1.687,0.5845,1.565,0.897,-0.1927,-1.106,1.495,-0.451,0.99,-1.023,0.6206,-1.239
0.827,0.847,-1.448,-0.1912,1.087,-0.679,-0.997,1.805,0.12317,0.69,1.629,1.39,0.1442,-1.287,1.597,-1.108,1.351,-0.1843,1.179,-1.807
0.2417,0.5586,-0.4795,-0.7266,0.798,1.426,-1.102,-0.1077,0.49,0.02399,0.5605,-0.3723,1.631,-0.552,0.2688,-0.9834,0.5723,0.7627,1.021,-1.14
0.8657,0.6367,-0.6094,0.3154,1.328,1.589,-0.7163,-0.1432,-1.197,1.286,1.028,1.081,0.9585,-1.353,-0.4202,-0.5015,0.4185,0.5513,0.1272,-0.8457
-0.89,1.244,-0.7705,0.2559,1.254,-0.6636,-1.087,0.816,-1.085,1.189,1.403,0.7637,-0.318,-1.14,-0.2451,0.1069,0.4268,-0.01959,-0.292,0.09625
0.952,0.02896,-0.1597,-0.258,0.677,-0.317,-0.4697,-0.1484,1.132,-0.01627,0.6997,0.7173,0.806,-0.96,0.3962,0.0272,0.3232,0.0365,0.2654,-0.5947
0.5405,0.8906,1.375,-1.616,-0.04315,-0.787,-0.8013,-1.129,-1.132,-1.077,-1.953,1.032,-1.3545,0.2488,0.3857,0.7256,0.1157,-0.6196,-0.1547,0.475
-1.172,1.587,0.1145,0.771,-0.2168,-1.369,-0.9023,-0.8354,-0.85,-0.0279,-0.2817,0.647,-1.719,-0.874,0.4316,1.252,0.4255,-1.724,-0.1521,1.308
-0.4443,-1.062,-1.042,-0.5405,-0.2115,-0.361,0.71,1.111,-0.4368,-1.094,0.003527,-0.2883,-0.986,0.626,0.7876,0.923,0.7603,-0.06094,0.798,-0.9473
-0.8184,-0.341,-1.288,-1.646,1.148,-0.7026,0.1296,1.339,-0.5557,0.385,1.429,-0.8853,-0.1833,0.1069,1.255,0.3079,0.57,0.705,1.249,-1.178
0.3184,-0.892,0.2559,1.011,-0.956,1.5,1.063,-0.8813,-1.377,0.2974,-0.394,1.258,-0.2754,-1.107,1.586,0.5127,0.842,0.378,1.3545,-0.7715
0.2993,1.546,-1.22,0.1482,0.59,-1.585,-0.8916,0.8237,-1.674,-0.007687,1.117,-1.162,-0.84,0.5903,0.5664,0.2788,1.14,-1.86,0.1247,-0.3516
-1.237,-0.9697,-0.3557,-0.53,-1.321,-1.534,1.27,0.04987,-1.319,-1.085,-0.631,-1.523,-2.012,2.406,0.9062,-1.695,1.074,-1.716,0.3953,0.2805
-0.1907,-1.34,-1.24,-0.8384,0.268,0.02863,1.385,1.173,0.8374,-0.835,-0.03192,-1.277,0.4255,1.503,1.565,-0.3738,0.746,0.1366,1.127,-1.269
0.76,-0.3389,0.09753,1.644,-0.2015,1.299,0.3328,-0.513,-0.08026,0.949,0.358,0.69,0.453,-1.124,0.8145,0.624,0.6743,0.8,1.368,-1.178
-1.462,-0.8184,-0.1063,1.282,0.6963,-1.608,0.9766,-0.7544,-0.5938,1.703,0.4287,1.106,-0.7593,-1.233,-0.9717,1.016,-0.3333,-2.488,-1.714,2.41
-0.00672,0.2023,0.4744,0.8076,-0.784,0.4639,-0.5703,-0.9443,-0.7334,0.1605,-0.597,-0.3333,-0.85,-0.509,0.05908,1.18,0.1249,0.3445,0.111,0.1394
-0.626,0.62,0.2734,1.135,0.564,1.504,-0.518,-0.8335,-0.09534,1.39,0.05984,1.228,1.066,-1.181,-1.02,-0.09607,-0.6104,0.5244,-0.953,1.065
1.173,0.832,-1.237,1.431,-1.554,-1.059,-1.197,1.549,1.136,0.82,1.692,-0.1774,-0.382,-0.7905,0.3713,-0.7607,0.11676,-0.7114,-0.264,-0.5137
-0.2698,1.053,-0.1218,-0.1761,1.165,-0.364,-0.5693,-0.834,-0.1007,0.635,-0.0453,-0.9966,0.1226,0.15,-0.16,0.9556,-0.0816,-0.07294,-0.543,0.936
-0.1244,0.8438,-0.1903,0.3582,-1.749,0.5566,-1.03,-0.1661,0.1796,-0.677,-0.449,0.3289,-0.3572,-0.3513,-0.4346,1.025,0.297,1.511,0.3665,-0.7817
0.8115,0.1284,-0.601,-0.3416,0.509,-1.066,-0.308,0.315,1.274,-0.4707,0.12067,-0.439,0.508,-0.19,-1.057,0.5615,-0.946,-1.087,-1.707,1.048
-0.8354,-0.4312,-0.2717,-0.3716,0.4365,-0.02988,0.562,-0.1184,1.562,-0.659,-0.3208,0.0658,0.788,-0.2448,1.625,0.475,0.8877,-0.00545,0.8945,-0.3035
1.033,-1.434,1.375,-1.123,-1.044,0.6836,1.416,-1.45,0.5376,-1.552,-2.463,0.2607,0.3525,0.9844,-0.1971,0.5396,0.24,1.099,0.384,-0.8994
0.9985,-0.8774,0.303,1.748,0.467,-0.3843,1.051,-1.135,-1.322,1.157,-0.06046,0.535,-0.837,-1.124,-0.8105,0.676,-0.5,0.2812,-0.8096,0.555
-1.066,0.97,0.3445,-0.893,-1.227,0.7173,-0.632,-0.4275,-0.4722,-1.256,-1.043,-1.549,-0.582,2.576,0.372,-1.644,0.3616,0.636,0.6885,-0.2913
0.9067,-1.636,-1.366,-1.647,-0.1729,-0.2062,1.699,1.665,1.3955,-1.113,-0.04532,1.568,0.2664,0.3083,-1.697,-0.2778,-2.477,0.315,-1.333,0.04004
